

Campanelle - pasta, solid
BalsamicVinegar - sour, liquid
Mustard - Paste, Spicy
Almonds - solid, sour
Kale - solid, sour (i guess lol- how does a kale taste like... like kale :D)
Bucatini - pasta, solid
PineNuts - solid, bitter
Arugula - solid, bitter
BuffaloSauce - liquid, salty
Celery - solid, bitter
Linguinni - pasta, solid
Panceta - salty, solid
BrusselsSprout - solid, bitter
Zuchini - solid, bitter
Dill - solid, bitter
ChickenStock - salty, liquid
Gnocchi - solid (dont know how they taste like, bitter i guess)
